# Step 2 current-reference sweep after 93d3497; case-insensitive; all tracked text sources inspected.
# Requested ten reference/label terms plus experiment-scene, RoboSyn-demo and experimental-overlay wording.
# Counts are non-overlapping occurrences; line:count covers every retained occurrence. Historical registry commands are not current launch instructions.
# Asset-lab fixtures and conditional experimental result labels are explicitly scoped. Retained USD prim paths were not renamed.
# HISTORICAL=135; ASSET_LAB_EXPERIMENT=6; INTERNAL_IDENTIFIER=0; NEGATIVE_TEST=2; BUG=0
path	classification	line:occurrences
docs/project/performance/20260915/piper_camera_xr_render_once.log	HISTORICAL	386:1
docs/project/performance/20260915/piper_camera_xr_render_once_result.json	HISTORICAL	164:1
docs/project/performance/20260915/piper_xr_panel_layout_probe.log	HISTORICAL	382:1
docs/project/performance/20260915/piper_xr_panel_layout_s2_result.json	HISTORICAL	164:1
docs/project/performance/20260915/xr_diagnosis_source_manifest.json	HISTORICAL	15:1
docs/project/reconciliation/20260919_contracts_kit1103/historical-provenance.json	HISTORICAL	1471:2,1485:1,1511:1,1640:1,1664:1,1802:1,3781:2,3795:1,3821:1
docs/project/reconciliation/20260919_contracts_kit1103/history/0a0ed027/docs/project/xr_fixes/20260916/07_camera_visual_tuning/source_manifest.json.original	HISTORICAL	2:1
docs/project/reconciliation/20260919_contracts_kit1103/history/682ee936/configs/environments/isaac_release_3_0_0.yaml	HISTORICAL	34:1,41:1
docs/project/vr_step1/isaac1103_environment_before_vr.yaml	HISTORICAL	26:1,28:1
docs/project/vr_step1/isaac61_preview_integration_before_vr.yaml	HISTORICAL	20:1
docs/project/xr_fixes/20260915/01_recenter/isaac.log	HISTORICAL	388:1
docs/project/xr_fixes/20260915/01_recenter/result.json	HISTORICAL	164:1
docs/project/xr_fixes/20260915/01_recenter/source_manifest.json	HISTORICAL	5:1
docs/project/xr_fixes/20260915/02_panels/isaac.log	HISTORICAL	383:1
docs/project/xr_fixes/20260915/02_panels/result.json	HISTORICAL	164:1
docs/project/xr_fixes/20260915/02_panels/source_manifest.json	HISTORICAL	4:1
docs/project/xr_fixes/20260915/03_preview/isaac.log	HISTORICAL	397:1
docs/project/xr_fixes/20260915/03_preview/result.json	HISTORICAL	173:1
docs/project/xr_fixes/20260915/03_preview/runtime_isaac.log	HISTORICAL	402:1
docs/project/xr_fixes/20260915/03_preview/runtime_result.json	HISTORICAL	173:1
docs/project/xr_fixes/20260915/03_preview/source_manifest.json	HISTORICAL	6:1
docs/project/xr_fixes/20260916/01_recenter_resume/source_manifest.json	HISTORICAL	4:1
docs/project/xr_fixes/20260916/02_camera_feedback/isaac.log	HISTORICAL	380:1
docs/project/xr_fixes/20260916/02_camera_feedback/result.json	HISTORICAL	173:1
docs/project/xr_fixes/20260916/02_camera_feedback/source_manifest.json	HISTORICAL	4:1
docs/project/xr_fixes/20260916/03_camera_pose/isaac_configured.log	HISTORICAL	379:1
docs/project/xr_fixes/20260916/03_camera_pose/result.json	HISTORICAL	173:1
docs/project/xr_fixes/20260916/03_camera_pose/source_manifest.json	HISTORICAL	2:1
docs/project/xr_fixes/20260916/04_per_hand_speed_slider/isaac.log	HISTORICAL	379:1
docs/project/xr_fixes/20260916/04_per_hand_speed_slider/result.json	HISTORICAL	185:1
docs/project/xr_fixes/20260916/04_per_hand_speed_slider/source_manifest.json	HISTORICAL	2:1
docs/project/xr_fixes/20260916/05_preview_height/isaac.log	HISTORICAL	380:1
docs/project/xr_fixes/20260916/05_preview_height/layout_probe.py	HISTORICAL	13:1
docs/project/xr_fixes/20260916/05_preview_height/result.json	HISTORICAL	185:1
docs/project/xr_fixes/20260916/05_preview_height/source_manifest.json	HISTORICAL	2:1
docs/project/xr_fixes/20260916/06_camera_mount_side/isaac_configured.log	HISTORICAL	379:1
docs/project/xr_fixes/20260916/06_camera_mount_side/result.json	HISTORICAL	185:1
docs/project/xr_fixes/20260916/06_camera_mount_side/source_manifest.json	HISTORICAL	2:1
docs/project/xr_fixes/20260916/07_camera_visual_tuning/isaac_configured.log	HISTORICAL	379:1
docs/project/xr_fixes/20260916/07_camera_visual_tuning/result.json	HISTORICAL	185:1
docs/project/xr_fixes/20260916/07_camera_visual_tuning/source_manifest.json	HISTORICAL	2:1
docs/project/xr_fixes/20260916/08_target_api/isaac.log	HISTORICAL	373:1
docs/project/xr_fixes/20260916/08_target_api/result.json	HISTORICAL	185:1
docs/project/xr_fixes/20260917/09_cross_user_camera_recursion/commands.txt	HISTORICAL	5:1,6:1
docs/project/xr_fixes/20260917/09_cross_user_camera_recursion/source_manifest.json	HISTORICAL	9:1
tests/test_run_vr.py	ASSET_LAB_EXPERIMENT	84:1
tests/test_run_vr.py	NEGATIVE_TEST	398:1,399:1
tools/isaac_s2_runtime.py	ASSET_LAB_EXPERIMENT	728:1
tools/isaac_vr_config.py	ASSET_LAB_EXPERIMENT	28:1
